STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,num.days.with.rain,,tot.day.with,tot.days,tot.day.without,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,8/5/2017,,,0,6,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,8/6/2017,,,0,7,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,8/8/2017,2,27.4,,0,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,8/9/2017,,,10.7,0,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,8/10/2017,,,0,1,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,8/11/2017,,,0.3,0,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,8/12/2017,,,41.4,0,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,8/13/2017,,,8.6,0,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,8/14/2017,,,4.6,0,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,8/15/2017,,,16.3,0,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,8/16/2017,,,2,0,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,8/17/2017,,,0.3,0,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,8/18/2017,,,0,1,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,8/19/2017,,,0,2,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,8/20/2017,,,0,3,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,8/21/2017,,,0,4,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,8/22/2017,,,0,5,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,8/23/2017,,,0,6,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,8/24/2017,,,99.8,0,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,8/25/2017,,,0,1,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,8/26/2017,,,0,2,,,,,
